College IPEDS ID,College Name,Fall Term,Enrollment Type Code,Enrollment Type Description,Head Count,Full-time Equivalent (FTE) Enrollment
190512,CUNY Baruch College,Fall 1990,1,Transfer,875,
190512,CUNY Baruch College,Fall 1990,2,First-time Freshmen,1343,
190512,CUNY Baruch College,Fall 1990,3,Graduate,2800,1755
190512,CUNY Baruch College,Fall 1990,4,Undergraduate,13053,9812
190512,CUNY Baruch College,Fall 1990,5,Total,15853,11567
190521,CUNY Borough of Manhattan Community College,Fall 1990,1,Transfer,1106,
190521,CUNY Borough of Manhattan Community College,Fall 1990,2,First-time Freshmen,3062,
190521,CUNY Borough of Manhattan Community College,Fall 1990,4,Undergraduate,14823,10312
190521,CUNY Borough of Manhattan Community College,Fall 1990,5,Total,14823,10312
190530,CUNY Bronx Community College,Fall 1990,1,Transfer,380,
190530,CUNY Bronx Community College,Fall 1990,2,First-time Freshmen,1361,
190530,CUNY Bronx Community College,Fall 1990,4,Undergraduate,6426,4975
190530,CUNY Bronx Community College,Fall 1990,5,Total,6426,4975
190549,CUNY Brooklyn College,Fall 1990,1,Transfer,913,
190549,CUNY Brooklyn College,Fall 1990,2,First-time Freshmen,1789,
190549,CUNY Brooklyn College,Fall 1990,3,Graduate,4543,1999
190549,CUNY Brooklyn College,Fall 1990,4,Undergraduate,12000,9685
190549,CUNY Brooklyn College,Fall 1990,5,Total,16543,11684
190567,CUNY City College,Fall 1990,1,Transfer,910,
190567,CUNY City College,Fall 1990,2,First-time Freshmen,1283,
190567,CUNY City College,Fall 1990,3,Graduate,2884,1447
190567,CUNY City College,Fall 1990,4,Undergraduate,11206,8797
190567,CUNY City College,Fall 1990,5,Total,14090,10244
190558,CUNY College of Staten Island,Fall 1990,1,Transfer,891,
190558,CUNY College of Staten Island,Fall 1990,2,First-time Freshmen,1474,
190558,CUNY College of Staten Island,Fall 1990,3,Graduate,1185,454
190558,CUNY College of Staten Island,Fall 1990,4,Undergraduate,11000,7366
190558,CUNY College of Staten Island,Fall 1990,5,Total,12185,7820
190576,CUNY Graduate School and University Center,Fall 1990,3,Graduate,4027,3087
190576,CUNY Graduate School and University Center,Fall 1990,5,Total,4027,3087
190585,CUNY Hostos Community College,Fall 1990,1,Transfer,271,
190585,CUNY Hostos Community College,Fall 1990,2,First-time Freshmen,913,
190585,CUNY Hostos Community College,Fall 1990,4,Undergraduate,4264,4306
190585,CUNY Hostos Community College,Fall 1990,5,Total,4264,4306
190594,CUNY Hunter College,Fall 1990,1,Transfer,975,
190594,CUNY Hunter College,Fall 1990,2,First-time Freshmen,1122,
190594,CUNY Hunter College,Fall 1990,3,Graduate,4779,2542
190594,CUNY Hunter College,Fall 1990,4,Undergraduate,14866,10276
190594,CUNY Hunter College,Fall 1990,5,Total,19645,12818
190600,CUNY John Jay College of Criminal Justice,Fall 1990,1,Transfer,716,
190600,CUNY John Jay College of Criminal Justice,Fall 1990,2,First-time Freshmen,1523,
190600,CUNY John Jay College of Criminal Justice,Fall 1990,3,Graduate,605,294
190600,CUNY John Jay College of Criminal Justice,Fall 1990,4,Undergraduate,8067,5579
190600,CUNY John Jay College of Criminal Justice,Fall 1990,5,Total,8672,5873
190619,CUNY Kingsborough Community College,Fall 1990,1,Transfer,518,
190619,CUNY Kingsborough Community College,Fall 1990,2,First-time Freshmen,2349,
