College,Fall Term,Record Type Code,Record Type Description,Head Count,Percentage
CUNY Baruch College,Fall 2017,1,1 Year Retention,1599,88.5
CUNY Baruch College,Fall 2016,1,1 Year Retention,1400,89.8
CUNY Baruch College,Fall 2015,1,1 Year Retention,1468,90.9
CUNY Baruch College,Fall 2014,1,1 Year Retention,1274,90.7
CUNY Baruch College,Fall 2013,1,1 Year Retention,1245,90.4
CUNY Baruch College,Fall 2012,1,1 Year Retention,1171,87.6
CUNY Baruch College,Fall 2012,2,150 Time Graduation,1171,68.7
CUNY Baruch College,Fall 2011,1,1 Year Retention,1301,91.5
CUNY Baruch College,Fall 2011,2,150 Time Graduation,1301,69.9
CUNY Baruch College,Fall 2010,1,1 Year Retention,1255,89.3
CUNY Baruch College,Fall 2010,2,150 Time Graduation,1255,66.5
CUNY Baruch College,Fall 2009,1,1 Year Retention,1430,90.7
CUNY Baruch College,Fall 2009,2,150 Time Graduation,1430,69.9
CUNY Baruch College,Fall 2008,1,1 Year Retention,1497,88.3
CUNY Baruch College,Fall 2008,2,150 Time Graduation,1497,65.6
CUNY Baruch College,Fall 2007,1,1 Year Retention,1470,89.6
CUNY Baruch College,Fall 2007,2,150 Time Graduation,1470,66.9
CUNY Baruch College,Fall 2006,1,1 Year Retention,1493,88.2
CUNY Baruch College,Fall 2006,2,150 Time Graduation,1493,62.6
CUNY Baruch College,Fall 2005,1,1 Year Retention,1625,88.2
CUNY Baruch College,Fall 2005,2,150 Time Graduation,1625,63.3
CUNY Baruch College,Fall 2004,1,1 Year Retention,1693,87.7
CUNY Baruch College,Fall 2004,2,150 Time Graduation,1693,60.5
CUNY Baruch College,Fall 2003,1,1 Year Retention,1659,87.5
CUNY Baruch College,Fall 2003,2,150 Time Graduation,1659,60.3
CUNY Baruch College,Fall 2002,1,1 Year Retention,1654,87.1
CUNY Baruch College,Fall 2002,2,150 Time Graduation,1654,57.6
CUNY Baruch College,Fall 2001,1,1 Year Retention,1688,87.3
CUNY Baruch College,Fall 2001,2,150 Time Graduation,1688,59.8
CUNY Baruch College,Fall 2000,1,1 Year Retention,1295,85.3
CUNY Baruch College,Fall 2000,2,150 Time Graduation,1295,56.8
CUNY Baruch College,Fall 1999,1,1 Year Retention,1133,83.8
CUNY Baruch College,Fall 1999,2,150 Time Graduation,1133,58.7
CUNY Baruch College,Fall 1998,1,1 Year Retention,946,81.6
CUNY Baruch College,Fall 1998,2,150 Time Graduation,946,53.1
CUNY Baruch College,Fall 1997,1,1 Year Retention,1109,79.4
CUNY Baruch College,Fall 1997,2,150 Time Graduation,1109,49.9
CUNY Baruch College,Fall 1996,1,1 Year Retention,1365,72.4
CUNY Baruch College,Fall 1996,2,150 Time Graduation,1365,37.4
CUNY Baruch College,Fall 1995,1,1 Year Retention,1445,76.5
CUNY Baruch College,Fall 1995,2,150 Time Graduation,1445,34.8
CUNY Baruch College,Fall 1994,1,1 Year Retention,1474,79.4
CUNY Baruch College,Fall 1994,2,150 Time Graduation,1474,33.5
CUNY Baruch College,Fall 1993,1,1 Year Retention,1300,82.5
CUNY Baruch College,Fall 1993,2,150 Time Graduation,1300,34.5
CUNY Baruch College,Fall 1992,1,1 Year Retention,1359,83.4
CUNY Baruch College,Fall 1992,2,150 Time Graduation,1359,34.8
CUNY Baruch College,Fall 1991,1,1 Year Retention,1170,84.4
CUNY Baruch College,Fall 1991,2,150 Time Graduation,1170,38.3
CUNY Baruch College,Fall 1990,1,1 Year Retention,1278,81.8
CUNY Baruch College,Fall 1990,2,150 Time Graduation,1278,39.3
CUNY Borough of Manhattan Community College,Fall 2017,1,1 Year Retention,5467,57.8
CUNY Borough of Manhattan Community College,Fall 2016,1,1 Year Retention,5804,62.9
CUNY Borough of Manhattan Community College,Fall 2015,1,1 Year Retention,5528,63.9
CUNY Borough of Manhattan Community College,Fall 2015,2,150 Time Graduation,5528,22.4
CUNY Borough of Manhattan Community College,Fall 2014,1,1 Year Retention,5549,65.7
CUNY Borough of Manhattan Community College,Fall 2014,2,150 Time Graduation,5549,20.1
CUNY Borough of Manhattan Community College,Fall 2013,1,1 Year Retention,4527,65.1
CUNY Borough of Manhattan Community College,Fall 2013,2,150 Time Graduation,4527,18.9
CUNY Borough of Manhattan Community College,Fall 2012,1,1 Year Retention,4966,64.1
CUNY Borough of Manhattan Community College,Fall 2012,2,150 Time Graduation,4966,18.3
CUNY Borough of Manhattan Community College,Fall 2011,1,1 Year Retention,5131,64.7
CUNY Borough of Manhattan Community College,Fall 2011,2,150 Time Graduation,5131,15.9
CUNY Borough of Manhattan Community College,Fall 2010,1,1 Year Retention,4425,63.5
CUNY Borough of Manhattan Community College,Fall 2010,2,150 Time Graduation,4425,15
CUNY Borough of Manhattan Community College,Fall 2009,1,1 Year Retention,3847,65.6
CUNY Borough of Manhattan Community College,Fall 2009,2,150 Time Graduation,3847,14.9
CUNY Borough of Manhattan Community College,Fall 2008,1,1 Year Retention,4192,60.4
CUNY Borough of Manhattan Community College,Fall 2008,2,150 Time Graduation,4192,11.9
CUNY Borough of Manhattan Community College,Fall 2007,1,1 Year Retention,3321,61.2
CUNY Borough of Manhattan Community College,Fall 2007,2,150 Time Graduation,3321,14.1
CUNY Borough of Manhattan Community College,Fall 2006,1,1 Year Retention,2868,58.4
CUNY Borough of Manhattan Community College,Fall 2006,2,150 Time Graduation,2868,12.9
CUNY Borough of Manhattan Community College,Fall 2005,1,1 Year Retention,2687,58.2
CUNY Borough of Manhattan Community College,Fall 2005,2,150 Time Graduation,2687,10.9
CUNY Borough of Manhattan Community College,Fall 2004,1,1 Year Retention,2750,57.3
CUNY Borough of Manhattan Community College,Fall 2004,2,150 Time Graduation,2750,10.5
CUNY Borough of Manhattan Community College,Fall 2003,1,1 Year Retention,2840,58.8
CUNY Borough of Manhattan Community College,Fall 2003,2,150 Time Graduation,2840,10.6
CUNY Borough of Manhattan Community College,Fall 2002,1,1 Year Retention,2775,58.3
CUNY Borough of Manhattan Community College,Fall 2002,2,150 Time Graduation,2775,12.1
CUNY Borough of Manhattan Community College,Fall 2001,1,1 Year Retention,2686,59.9
CUNY Borough of Manhattan Community College,Fall 2001,2,150 Time Graduation,2686,12
CUNY Borough of Manhattan Community College,Fall 2000,1,1 Year Retention,2693,56.2
CUNY Borough of Manhattan Community College,Fall 2000,2,150 Time Graduation,2693,10
CUNY Borough of Manhattan Community College,Fall 1999,1,1 Year Retention,2340,60.3
CUNY Borough of Manhattan Community College,Fall 1999,2,150 Time Graduation,2340,9.7
CUNY Borough of Manhattan Community College,Fall 1998,1,1 Year Retention,2411,62.6
CUNY Borough of Manhattan Community College,Fall 1998,2,150 Time Graduation,2411,10.4
CUNY Borough of Manhattan Community College,Fall 1997,1,1 Year Retention,2451,65.1
CUNY Borough of Manhattan Community College,Fall 1997,2,150 Time Graduation,2451,12.8
CUNY Borough of Manhattan Community College,Fall 1996,1,1 Year Retention,2775,61.6
CUNY Borough of Manhattan Community College,Fall 1996,2,150 Time Graduation,2775,10.8
CUNY Borough of Manhattan Community College,Fall 1995,1,1 Year Retention,2480,64.4
CUNY Borough of Manhattan Community College,Fall 1995,2,150 Time Graduation,2480,13.9
CUNY Borough of Manhattan Community College,Fall 1994,1,1 Year Retention,2461,62.3
CUNY Borough of Manhattan Community College,Fall 1994,2,150 Time Graduation,2461,9.6
CUNY Borough of Manhattan Community College,Fall 1993,1,1 Year Retention,2407,66.3
CUNY Borough of Manhattan Community College,Fall 1993,2,150 Time Graduation,2407,8.9
CUNY Borough of Manhattan Community College,Fall 1992,1,1 Year Retention,2026,65.4
CUNY Borough of Manhattan Community College,Fall 1992,2,150 Time Graduation,2026,7.7
CUNY Borough of Manhattan Community College,Fall 1991,1,1 Year Retention,1839,62.4
CUNY Borough of Manhattan Community College,Fall 1991,2,150 Time Graduation,1839,7.3
CUNY Borough of Manhattan Community College,Fall 1990,1,1 Year Retention,2121,62.9
CUNY Borough of Manhattan Community College,Fall 1990,2,150 Time Graduation,2121,7.7
CUNY Bronx Community College,Fall 2017,1,1 Year Retention,1889,54.8
CUNY Bronx Community College,Fall 2016,1,1 Year Retention,1728,58.9
CUNY Bronx Community College,Fall 2015,1,1 Year Retention,1718,59
CUNY Bronx Community College,Fall 2015,2,150 Time Graduation,1718,20.3
CUNY Bronx Community College,Fall 2014,1,1 Year Retention,1589,57.8
CUNY Bronx Community College,Fall 2014,2,150 Time Graduation,1589,16
CUNY Bronx Community College,Fall 2013,1,1 Year Retention,1594,61.2
CUNY Bronx Community College,Fall 2013,2,150 Time Graduation,1594,16.3
CUNY Bronx Community College,Fall 2012,1,1 Year Retention,1524,58.1
CUNY Bronx Community College,Fall 2012,2,150 Time Graduation,1524,15.7
CUNY Bronx Community College,Fall 2011,1,1 Year Retention,1743,55
CUNY Bronx Community College,Fall 2011,2,150 Time Graduation,1743,10.8
CUNY Bronx Community College,Fall 2010,1,1 Year Retention,1625,58
CUNY Bronx Community College,Fall 2010,2,150 Time Graduation,1625,11.2
CUNY Bronx Community College,Fall 2009,1,1 Year Retention,1699,60.9
CUNY Bronx Community College,Fall 2009,2,150 Time Graduation,1699,10
CUNY Bronx Community College,Fall 2008,1,1 Year Retention,1288,65.2
CUNY Bronx Community College,Fall 2008,2,150 Time Graduation,1288,8.2
